season,daynum,wteam,lteam,pct_both_tourney
A,94,610,645,0.002
A,94,647,564,0.005
A,94,662,830,0.280
A,94,663,789,0.823
A,94,666,573,0.209
A,94,667,543,0.001
A,94,687,762,0.011
A,94,701,536,0.092
A,94,703,835,0.034
A,94,727,702,0.001
A,94,737,527,0.283
A,94,752,634,0.010
A,94,758,755,0.119
A,94,765,795,0.001
A,94,772,801,0.040
A,94,781,753,0.006
A,94,784,540,0.003
A,94,786,668,0.139
A,94,791,792,0.002
A,94,803,633,0.002
A,94,807,757,0.002
A,94,810,725,0.127
A,94,811,643,0.007
A,94,812,664,0.004
A,94,817,756,0.002
A,94,818,726,0.088
A,94,821,824,0.109
A,94,840,511,0.253
A,94,841,512,0.013
A,94,844,552,0.041
A,94,851,622,0.019
A,94,852,502,0.003
A,95,541,658,0.067
A,95,549,624,0.149
A,95,567,531,0.006
A,95,576,700,0.003
A,95,612,854,0.001
A,95,619,653,0.002
A,95,627,704,0.012
A,95,652,607,0.020
A,95,657,615,0.001
A,95,680,620,0.011
A,95,681,582,0.002
A,95,728,561,0.002
A,95,732,730,0.010
A,95,736,558,0.001
A,95,799,712,0.003
A,95,828,611,0.003
A,95,842,713,0.007
A,96,508,685,0.001
A,96,509,583,0.006
A,96,511,841,0.164
A,96,512,840,0.020
A,96,513,516,0.019
A,96,515,769,0.382
A,96,517,644,0.001
A,96,520,798,0.015
A,96,526,621,0.002
A,96,527,843,0.043
A,96,531,612,0.003
A,96,533,692,0.002
A,96,534,834,0.004
A,96,535,845,0.012
A,96,536,824,0.031
A,96,538,566,0.001
A,96,546,635,0.059
A,96,554,784,0.006
A,96,555,766,0.006
A,96,557,502,0.013
A,96,559,778,0.428
A,96,560,683,0.004
A,96,562,846,0.002
A,96,567,854,0.002
A,96,568,833,0.001
A,96,571,693,0.001
A,96,574,552,0.006
A,96,575,587,0.018
A,96,577,551,0.392
A,96,579,724,0.002
A,96,581,503,0.027
A,96,590,634,0.001
A,96,594,752,0.002
A,96,597,852,0.027
A,96,599,789,0.217
A,96,603,717,0.066
A,96,604,790,0.202
A,96,607,730,0.011
A,96,629,698,0.251
A,96,632,804,0.004
A,96,633,835,0.015
A,96,639,529,0.018
A,96,640,592,0.643
A,96,641,775,0.039
A,96,643,650,0.001
A,96,645,740,0.001
A,96,647,807,0.006
A,96,651,666,0.772
A,96,652,732,0.022
A,96,654,690,0.003
A,96,655,674,0.013
A,96,659,589,0.009
A,96,661,550,0.002
A,96,662,606,0.688
A,96,664,716,0.002
A,96,669,719,0.019
A,96,670,720,0.121
A,96,672,519,0.004
A,96,678,749,0.019
A,96,679,744,0.022
A,96,680,582,0.002
A,96,681,620,0.017
A,96,686,648,0.005
A,96,695,708,0.328
A,96,696,544,0.001
A,96,702,756,0.002
A,96,714,626,0.002
A,96,721,676,0.093
A,96,722,556,0.034
A,96,725,818,0.105
A,96,728,558,0.001
A,96,729,628,0.794
A,96,736,561,0.004
A,96,737,746,0.067
A,96,738,671,0.425
A,96,753,758,0.046
A,96,754,613,0.010
A,96,755,781,0.013
A,96,757,564,0.002
A,96,761,667,0.001
A,96,762,682,0.002
A,96,777,588,0.012
A,96,779,569,0.033
A,96,793,617,0.060
A,96,794,767,0.009
A,96,795,751,0.001
A,96,796,742,0.096
A,96,797,791,0.003
A,96,803,811,0.003
A,96,809,540,0.003
A,96,810,726,0.103
A,96,812,705,0.001
A,96,814,545,0.012
A,96,816,602,0.003
A,96,820,765,0.002
A,96,821,701,0.426
A,96,822,699,0.013
A,96,825,723,0.016
A,96,829,731,0.143
A,96,830,595,0.050
A,96,831,741,0.061
A,96,832,850,0.003
A,96,836,537,0.004
A,96,844,851,0.113
A,96,847,743,0.001
A,96,849,623,0.283
A,97,528,799,0.009
A,97,530,802,0.246
A,97,539,573,0.191
A,97,541,627,0.202
A,97,549,771,0.121
A,97,570,712,0.001
A,97,576,657,0.006
A,97,578,596,0.005
A,97,625,715,0.020
A,97,636,637,0.626
A,97,653,782,0.011
A,97,658,704,0.005
A,97,663,853,0.055
A,97,675,518,0.093
A,97,700,615,0.001
A,97,768,703,0.015
A,97,783,764,0.266
A,97,786,504,0.253
A,97,801,660,0.097
A,98,513,633,0.028
A,98,543,761,0.001
A,98,554,540,0.004
A,98,568,547,0.003
A,98,574,845,0.018
A,98,580,762,0.001
A,98,588,745,0.001
A,98,594,634,0.001
A,98,599,546,0.218
A,98,600,510,0.001
A,98,602,583,0.002
A,98,617,635,0.007
A,98,619,683,0.001
A,98,624,562,0.015
A,98,632,734,0.002
A,98,647,817,0.003
A,98,667,605,0.001
A,98,677,534,0.001
A,98,679,776,0.001
A,98,686,838,0.005
A,98,714,587,0.007
A,98,721,722,0.194
A,98,744,648,0.003
A,98,752,590,0.001
A,98,773,685,0.009
A,98,777,659,0.010
A,98,779,775,0.035
A,98,791,687,0.045
A,98,794,521,0.003
A,98,804,506,0.001
A,98,809,784,0.001
A,98,814,553,0.001
A,98,816,509,0.018
A,98,826,579,0.002
A,98,829,603,0.421
A,98,830,723,0.038
A,98,832,550,0.001
A,98,833,661,0.002
A,98,835,516,0.019
A,98,846,749,0.004
A,98,854,517,0.001
A,99,504,772,0.050
A,99,551,850,0.006
A,99,559,737,0.444
A,99,569,523,0.002
A,99,589,782,0.018
A,99,625,673,0.288
A,99,658,717,0.021
A,99,662,708,0.779
A,99,663,596,0.022
A,99,668,843,0.011
A,99,675,515,0.407
A,99,724,566,0.001
A,99,728,644,0.003
A,99,741,641,0.011
A,99,807,774,0.003
A,99,831,578,0.071
A,100,511,512,0.093
A,100,518,769,0.100
A,100,520,503,0.003
A,100,527,778,0.196
A,100,529,537,0.007
A,100,530,678,0.166
A,100,533,517,0.002
A,100,547,586,0.001
A,100,549,780,0.193
A,100,556,637,0.082
A,100,561,534,0.003
A,100,576,799,0.013
A,100,581,836,0.089
A,100,592,790,0.256
A,100,599,853,0.028
A,100,604,655,0.055
A,100,606,577,0.745
A,100,616,555,0.001
A,100,628,715,0.013
A,100,633,650,0.002
A,100,636,629,0.956
A,100,640,827,0.335
A,100,660,771,0.084
A,100,671,720,0.074
A,100,676,698,0.043
A,100,719,639,0.012
A,100,738,849,0.522
A,100,740,815,0.006
A,100,743,635,0.001
A,100,746,764,0.035
A,100,773,608,0.001
A,100,786,731,0.180
A,100,793,742,0.059
A,100,796,788,0.172
A,100,798,669,0.019
A,100,805,573,0.086
A,100,825,847,0.004
A,100,832,600,0.003
A,100,839,595,0.145
A,101,510,598,0.001
A,101,513,703,0.065
A,101,516,803,0.003
A,101,519,752,0.003
A,101,528,611,0.003
A,101,540,784,0.002
A,101,541,766,0.013
A,101,543,667,0.001
A,101,554,809,0.007
A,101,557,536,0.049
A,101,560,523,0.001
A,101,562,749,0.010
A,101,597,754,0.016
A,101,607,730,0.016
A,101,613,502,0.002
A,101,619,593,0.001
A,101,624,714,0.020
A,101,626,575,0.005
A,101,627,704,0.012
A,101,659,648,0.002
A,101,664,795,0.001
A,101,666,546,0.650
A,101,681,713,0.003
A,101,686,744,0.021
A,101,690,622,0.006
A,101,702,757,0.001
A,101,711,765,0.001
A,101,724,792,0.001
A,101,725,840,0.061
A,101,727,699,0.006
A,101,729,623,0.522
A,101,732,652,0.040
A,101,756,822,0.002
A,101,761,605,0.001
A,101,777,679,0.029
A,101,783,818,0.552
A,101,789,779,0.153
A,101,801,651,0.180
A,101,810,539,0.443
A,101,811,768,0.008
A,101,820,705,0.004
A,101,828,712,0.001
A,101,830,695,0.269
A,101,835,643,0.011
A,101,841,726,0.028
A,101,842,680,0.021
A,101,845,552,0.002
A,102,526,620,0.007
A,102,531,558,0.001
A,102,567,728,0.005
A,102,645,814,0.002
A,102,657,570,0.003
A,102,736,612,0.009
A,102,755,781,0.010
A,102,758,753,0.070
A,102,799,700,0.002
A,102,812,716,0.002
A,102,854,561,0.001
A,103,509,847,0.001
A,103,513,803,0.008
A,103,518,592,0.105
A,103,519,762,0.002
A,103,520,836,0.017
A,103,521,767,0.004
A,103,526,582,0.001
A,103,527,668,0.089
A,103,530,714,0.061
A,103,534,696,0.001
A,103,535,552,0.003
A,103,536,852,0.021
A,103,538,774,0.001
A,103,539,818,0.318
A,103,540,809,0.002
A,103,541,653,0.035
A,103,543,605,0.001
A,103,545,813,0.001
A,103,547,598,0.001
A,103,554,784,0.004
A,103,555,644,0.003
A,103,556,677,0.002
A,103,561,531,0.002
A,103,562,626,0.004
A,103,568,510,0.002
A,103,574,622,0.016
A,103,576,615,0.002
A,103,579,544,0.001
A,103,580,797,0.001
A,103,581,537,0.015
A,103,587,575,0.023
A,103,588,648,0.001
A,103,589,704,0.004
A,103,595,662,0.100
A,103,596,569,0.002
A,103,599,641,0.035
A,103,602,743,0.001
A,103,604,504,0.120
A,103,606,708,0.956
A,103,613,597,0.020
A,103,617,742,0.034
A,103,621,620,0.001
A,103,629,698,0.402
A,103,632,508,0.001
A,103,633,643,0.011
A,103,634,752,0.003
A,103,647,702,0.003
A,103,650,768,0.003
A,103,651,805,0.358
A,103,654,851,0.006
A,103,661,600,0.003
A,103,664,820,0.008
A,103,669,503,0.005
A,103,672,791,0.013
A,103,673,715,0.005
A,103,674,827,0.031
A,103,675,721,0.533
A,103,676,636,0.146
A,103,679,745,0.002
A,103,680,713,0.001
A,103,685,734,0.002
A,103,686,776,0.002
A,103,687,682,0.003
A,103,701,824,0.062
A,103,703,516,0.011
A,103,711,751,0.001
A,103,719,529,0.025
A,103,722,637,0.101
A,103,723,635,0.003
A,103,727,822,0.002
A,103,728,612,0.006
A,103,729,671,0.421
A,103,732,730,0.021
A,103,736,567,0.013
A,103,737,731,0.123
A,103,738,670,0.848
A,103,744,659,0.010
A,103,754,502,0.002
A,103,756,699,0.003
A,103,757,817,0.001
A,103,758,755,0.118
A,103,761,667,0.002
A,103,769,655,0.135
A,103,771,772,0.029
A,103,773,506,0.003
A,103,775,533,0.020
A,103,781,753,0.006
A,103,782,766,0.002
A,103,783,810,0.771
A,103,786,603,0.419
A,103,795,705,0.001
A,103,796,794,0.084
A,103,798,639,0.011
A,103,802,846,0.008
A,103,807,564,0.001
A,103,811,835,0.019
A,103,815,553,0.001
A,103,821,557,0.193
A,103,825,583,0.013
A,103,826,800,0.001
A,103,828,528,0.001
A,103,829,746,0.105
A,103,830,551,0.216
A,103,831,853,0.064
A,103,832,586,0.004
A,103,838,777,0.004
A,103,840,726,0.020
A,103,841,725,0.033
A,103,842,681,0.049
A,103,844,690,0.062
A,103,849,720,0.080
A,104,511,549,0.951
A,104,570,700,0.001
A,104,607,652,0.031
A,104,628,625,0.607
A,104,640,515,0.578
A,104,658,627,0.076
A,104,660,573,0.129
A,104,663,789,0.848
A,104,695,512,0.038
A,104,749,624,0.035
A,104,778,717,0.037
A,104,779,741,0.038
A,104,793,788,0.140
A,104,799,657,0.009
A,104,801,546,0.270
A,104,839,577,0.654
A,104,843,764,0.015
A,105,519,792,0.001
A,105,534,548,0.001
A,105,545,553,0.001
A,105,560,593,0.001
A,105,576,644,0.003
A,105,632,773,0.007
A,105,661,634,0.006
A,105,664,705,0.003
A,105,672,762,0.003
A,105,685,804,0.001
A,105,687,580,0.012
A,105,768,643,0.001
A,105,772,805,0.052
A,105,780,590,0.004
A,105,786,746,0.094
A,105,802,587,0.029
A,105,807,647,0.006
A,105,814,815,0.010
A,105,820,751,0.001
A,105,826,544,0.003
